"uri","label","skos_pref_label","skos_alt_label","iao_definition","iao_alternative_term","rdf_comment","oio_exact_synonym","oio_related_synonym","iao_preferred_label","oio_broad_synonym","obo_external_ontology_notes","obo_homology_notes","skos_definition","chebi_formula","apollo_label","oio_synonym","oio_narrow_synonym","iao_obo_unique_label","dc_description","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2"
"http://purl.obolibrary.org/obo/BTO_0000042","['animal']","","","['Any of a kingdom (Animalia) of living things including many-celled organisms and often many of the single-celled ones (as protozoans) that typically differ from plants in having cells without cellulose walls, in lacking chlorophyll and the capacity for photosynthesis, in requiring more complex food materials (as proteins), in being organized to a greater degree of complexity, and in having the capacity for spontaneous movement and rapid motor responses to stimulation.']","","","","['animalia', 'metazoa', 'Tier']","","","","","","","","","","","","['animal']",1,1,16.551104946346303,16.551104946346303,16.551104946346303
"http://purl.obolibrary.org/obo/OBI_0001173","['service']","","","['A planned process in which a service provider performs a task (i.e. a planned process) for a service consumer.']","","","","","['service']","","","","","","","","","","","['service']",1,2,10.906774541859205,10.798711318081256,13.294773110580257
"http://snomed.info/id/288573005","['Community health care environment (environment)']","['Community health care environment']","","","","","","","","","","","","","","","","","","['community health']",1,2,10.666120175484485,10.652428135054492,13.114677387030545
"http://purl.obolibrary.org/obo/GAZ_00000554","['West Africa']","","","","['africa, western']","['LanguaL curation note: US FDA 1995 Code:  QM05']","","","","","","","","","","['west africa']","","","","['Nigeria']",1,2,10.317072008940938,10.317072008940938,12.701805565884849
"http://purl.obolibrary.org/obo/ENVO_01000781","['public building']","","","['A building which is publically accessible.']","","","","","","","","","","","","","","","","['public authority', 'public']",2,3,4.845176144459547,4.390992231207484,12.210376090424354
"http://snomed.info/id/397005006","['World Health Organization tumor classification (observable entity)']","['WHO tumour classification', 'WHO tumor classification']","['World Health Organization tumor classification', 'World Health Organization (WHO) tumor classification']","","","","","","","","","","","","","","","","","['who']",1,1,10.52421997204282,10.52421997204282,10.52421997204282
"http://snomed.info/id/21139007","['Organization (morphologic abnormality)']","['Organisation', 'Organization']","","","","","","","","","","","","","","","","","","['organisation']",1,2,10.697976679887551,7.18633259760738,8.847413229982786
"http://purl.obolibrary.org/obo/UO_0000185","['degree']","","","['A plane angle unit which is equal to 1/360 of a full rotation or 1.7453310^[-2] rad.']","","['""A plane angle unit which is equal to 1/360 of a full rotation or 1.7453310^[-2] rad."" [Wikipedia:Wikipedia]']","","","","","","","","","","","","","","['degree']",1,1,8.190332954472618,8.190332954472618,8.190332954472618
"http://purl.obolibrary.org/obo/UBERON_0006539","['mammary gland fluid/secretion']","","","['A substance that is secreted by a mammary gland. The substance may differ depending on phase, with colostrum produced during pregancy/early lactation, and milk produced afterwards.']","","","","['lactiferous gland fluid', 'lactiferous gland secretion', 'mammary gland fluid', 'mammary gland secreted fluid', 'mammary gland secretion', 'secretion of mammary gland']","","","","","","","","","","","","['milk']",1,1,8.088769122026445,8.088769122026445,8.088769122026445
"http://snomed.info/id/265930003","['Education/welfare/health profession (occupation)']","['Education/welfare/health profession']","","","","","","","","","","","","","","","","","","['veterinary profession']",1,1,7.368166201120142,7.368166201120142,7.368166201120142
"http://purl.obolibrary.org/obo/GAZ_00051347","['Man']","","","['A populated place. A town.']","","","['Mande {language: We}']","","","","","","","","","","","","","['man']",1,1,7.3363466486635875,7.3363466486635875,7.3363466486635875
"http://purl.obolibrary.org/obo/NCBITaxon_117569","['Hyperoartia']","","","","","","['fish', 'fishes']","['Agnatha', 'Cephalaspidomorphi', 'Monorhina']","","","","","","","","","","","","['fish']",1,1,7.281308197143629,7.281308197143629,7.281308197143629
