"uri","label","skos_alt_label","skos_pref_label","iao_definition","oio_exact_synonym","rdf_comment","oio_related_synonym","oio_synonym","oio_narrow_synonym","iao_alternative_term","iao_preferred_label","iao_elucidation","oio_broad_synonym","apollo_label","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","iao_nl_axiom"
"http://purl.obolibrary.org/obo/IAO_0000027","['data item', 'data item']","","","['a data item is an information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.', 'An information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.']","","","","","","['data']","['data item', 'data item']","","","","['datum', 'dataset']",2,2,13.610309751645277,7.243927412550607,17.83664152927555,""
"http://purl.obolibrary.org/obo/ENVO_01000932","['nursing home']","","","['A building in which nursing aides and skilled nurses provide care and treatment to residents who have significant difficulty coping with the required activities of daily living.']","['care home', 'convalescent home', 'rest home']","","","","","","","","['intermediate care facility', 'long-term care facility', 'skilled nursing facility']","","['home']",1,1,16.773196297279913,16.773196297279913,16.773196297279913,""
"http://purl.obolibrary.org/obo/GAZ_00000460","['Eurasia']","","","['The convention used in gaz.obo is that the Europe-Asia boundary follows the watershed of the Ural Mountains from near Kara, Russia on the Kara Sea to the source of the Ural River, then follows that river to the Caspian Sea. The border then follows the watershed of the Caucasus Mountains from the Caspian Sea to the Black Sea.']","","","","","","","","","","","['Turkey']",1,2,11.645661163896996,11.645661163896996,14.337490681639643,""
"http://snomed.info/id/48176007","['Social context (social concept)']","","['Social context']","","","","","","","","","","","","['occupation', 'person']",2,2,7.668916765346669,4.84865763793637,11.938795526335038,""
"http://purl.obolibrary.org/obo/BTO_0001385","['tongue']","","","['A fleshy movable process of the floor of the mouths of most vertebrates that bears sensory end organs and small glands and functions especially in taking and swallowing food and in humans as a speech organ.']","","","","","","","","","","","['tongue']",1,1,11.663050158048069,11.663050158048069,11.663050158048069,""
"http://purl.obolibrary.org/obo/HANCESTRO_0005","['European']","","","['Includes individuals who either self-report or have been described by authors as\n\nEuropean, Caucasian, White or one of the sub-populations from this region (e.g Dutch). This category also includes individuals who genetically cluster with reference populations from this region, for example 1000 Genomes and/or HapMap CEU, FIN, GBR, IBS and TSI populations.']","['white', 'Caucasian']","","","","","","","","","","['Europeans']",1,1,11.141153481476325,11.141153481476325,11.141153481476325,""
"http://purl.obolibrary.org/obo/GAZ_00002945","['Greece']","","","['A country in southeastern Europe, situated on the southern end of the Balkan Peninsula. It has borders with Albania, the former Yugoslav Republic of Macedonia and Bulgaria to the north, and Turkey to the east. The Aegean Sea lies to the east and south of mainland Greece, while the Ionian Sea lies to the west. Both parts of the Eastern Mediterranean basin feature a vast number of islands. Greece consists of thirteen peripheries subdivided into a total of fifty-one prefectures (nomoi, singular nomos). There is also one autonomous area, Mount Athos, which borders the periphery of Central Macedonia.']","['Elliniki Dimokratia', 'Hellenic Republic']","['LanguaL curation note: US FDA 1995 Code:  GR']","","","","['greece']","","","","","['North Macedonia']",1,1,11.056031640837547,11.056031640837547,11.056031640837547,""
"http://purl.obolibrary.org/obo/APOLLO_SV_00000152","['population survey']","","","['A planned process involving counting numbers of a organism population, possibly including counting sub-populations fulfilling specific criteria.']","","","","","","","","['A planned process involving counting numbers of a organism population, possibly including counting sub-populations fulfilling specific criteria.']","","","['Eurobarometer survey', 'demographic group', 'survey']",3,4,4.835079655701586,2.39128728450381,10.873541257224264,""
"http://purl.obolibrary.org/obo/NBO_0000011","['social behavior']","","","['""A behavior that occurs predominantly or only, in individuals that are part of a group."" [Wikipedia:Social_behavior]']","['social behaviour']","","","","","","","","","","['communication', 'social']",2,2,7.232571241522161,3.928336666775314,9.672699482076835,""
"http://purl.obolibrary.org/obo/SO_0000110","['sequence_feature']","","","['An extent of biological sequence.', 'Any extent of continuous biological sequence.']","['INSDC_feature:misc_feature', 'INSDC_note:other', 'INSDC_note:sequence_feature', 'located_sequence_feature', 'sequence feature']","","['located sequence feature']","","","","","","","","['region']",1,1,9.417817793950272,9.417817793950272,9.417817793950272,""
